Swimmer name,Year of birth,Country,Time,Splits,Date
"TOERNQVIST, Samuel",1997,Sweden,2:04.72,"['26.87', '31.44', '35.91', '30.50']",11 Apr 2017
"DAHL, Soeren",1993,Denmark,2:04.73,"['25.85', '34.31', '35.17', '29.40']",15 Jan 2017
"GUREVICH, Etay",1995,Israel,2:04.73,"['26.40', '33.37', '35.79', '29.17']",4 Mar 2017
"PAINE, Thomas",1994,Great Britain,2:04.73,"['26.75', '31.80', '36.01', '30.17']",17 Dec 2017
"SYOUD, Jaouad",1999,France,2:04.76,"['26.69', '32.42', '36.33', '29.32']",28 Jul 2017
"PERNER, Nico",1998,Germany,2:04.77,"['27.25', '33.82', '34.92', '28.78']",1 Jun 2017
"PERALTA GALLEGO, Carlos",1994,Spain,2:04.82,"['25.96', '1:38.']",5 May 2017
"MESZAROS, Mark",1994,Hungary,2:04.84,"['26.59', '33.06', '1:05.']",20 Apr 2017
"HASSLING, Emil",2000,Sweden,2:04.92,"['26.99', '33.56', '34.78', '29.59']",14 Jul 2017
"LEBHERZ, Yannick",1989,Germany,2:04.95,"['26.12', '31.67', '38.21', '28.95']",30 Apr 2017
"SCHULTZ, Valentin",1998,Germany,2:04.95,"['27.55', '33.76', '34.97', '28.67']",16 Jun 2017
"THOMPSON, Joshua",1998,Great Britain,2:05.03,[],22 Apr 2017
"SANCOV, Alexei",1999,Moldova,2:05.03,"['26.82', '32.90', '37.02', '28.29']",12 Aug 2017
"PAPASTAMOS, Apostolos",2001,Greece,2:05.05,[],9 Apr 2017
"LULEK, William",1998,Sweden,2:05.06,"['28.00', '32.28', '36.20', '28.58']",4 Jul 2017
"BONDAVALLI, Mattia",1996,Italy,2:05.09,"['27.29', '32.18', '35.48', '30.14']",7 Apr 2017
"DENISYAKO, Nikita",1988,Russia,2:05.11,"['27.00', '32.08', '36.48', '29.55']",11 Mar 2017
"SELMECZI, Levente",2000,Hungary,2:05.12,"['26.63', '32.63', '1:05.']",20 Apr 2017
"KANTH, Linus",1991,Sweden,2:05.14,"['27.26', '32.28', '34.95', '30.65']",11 Apr 2017
"DELKESKAMP, Jan",1999,Germany,2:05.15,"['27.30', '33.06', '34.66', '30.13']",16 Jun 2017
"JOERGENSEN, Jacob M.",1997,Denmark,2:05.16,"['27.04', '33.66', '35.59', '28.87']",8 Jul 2017
"GERASYMCHUK, Svyatoslav",1997,Ukraine,2:05.17,"['26.38', '31.19', '36.72', '30.88']",16 Apr 2017
"BRODIE, Cameron",1992,Great Britain,2:05.17,[],1 Jul 2017
"KAZANTSEV, Alexander",1999,Russia,2:05.18,"['25.52', '32.82', '37.05', '29.79']",29 Jun 2017
"ARTAL MATEO, Francho",1999,Spain,2:05.18,"['26.99', '1:38.']",5 Aug 2017
"GARCIA MARTIN, Alejandro",1993,Spain,2:05.19,"['26.84', '31.41', '36.10', '30.84']",10 Apr 2017
"TSIOPANIS, Thomas",1993,Cyprus,2:05.19,"['26.60', '31.72', '36.18', '30.69']",26 Jul 2017
"CHRISTOU, Apostolos",1996,Greece,2:05.24,[],14 Jan 2017
"FOFANOV, Maksim",2002,Russia,2:05.26,"['26.70', '31.66', '37.53', '29.37']",17 May 2017
"BECK, Sebastian",2000,Germany,2:05.26,"['27.28', '32.33', '37.90', '27.75']",16 Jun 2017
"KLENZ, Ramon",1998,Germany,2:05.26,"['26.22', '31.83', '37.70', '29.51']",25 Jun 2017
"VANHUYS, Logan",1997,Belgium,2:05.28,"['26.03', '31.78', '37.50', '29.97']",28 Jul 2017
"NUYKIN, Ilya",1999,Russia,2:05.29,"['26.58', '32.61', '36.38', '29.72']",12 Apr 2017
"DRIGAN, Zoltan",1998,Hungary,2:05.30,"['26.89', '33.50', '1:04.']",20 Apr 2017
"MATHIEU, Geoffroy",1997,France,2:05.31,"['26.99', '31.51', '37.83', '28.98']",26 May 2017
"MUEHLLEITNER, Henning",1997,Germany,2:05.32,"['27.35', '32.22', '37.93', '27.82']",16 Jun 2017
"LORA, Erik",1998,Italy,2:05.32,"['27.75', '32.59', '35.84', '29.14']",2 Aug 2017
"BRIVIO, Emanuele",1998,Italy,2:05.32,"['26.83', '32.19', '36.88', '29.42']",2 Aug 2017
"FERS ERZEN, Anze",1999,Slovenia,2:05.36,"['26.77', '31.51', '38.07', '29.01']",3 Jun 2017
"THOMASBERGER, David",1996,Germany,2:05.36,[],17 Dec 2017
"LIMOZIN, Emmanuel",1996,France,2:05.40,"['27.13', '31.82', '37.20', '29.25']",24 Mar 2017
"ZOBEL, Marius",1999,Germany,2:05.40,"['27.09', '33.23', '37.07', '28.01']",1 Jun 2017
"KRASOCHKA, Viktar",1996,Belarus,2:05.41,"['26.44', '33.34', '37.27', '28.36']",28 Jan 2017
"LAWRIE, Callum",1998,Great Britain,2:05.42,[],22 Apr 2017
"CHMIELEWSKI, Jakub",1999,Poland,2:05.43,"['27.67', '31.87', '36.58', '29.31']",20 Jul 2017
"MANETSCH, Lucas",1996,Switzerland,2:05.46,"['27.79', '31.81', '35.72', '30.14']",1 Jul 2017
"ALKAN, Samet",1998,Turkey,2:05.46,"['26.96', '32.16', '36.89', '29.45']",17 Nov 2017
"DAL MASO, Filippo",1999,Italy,2:05.47,"['27.77', '31.76', '36.23', '29.71']",29 Jun 2017
"GYURTA, Gergely",1991,Hungary,2:05.48,"['27.31', '31.51', '1:06.']",20 Apr 2017
"SWILLEN, Timon",2000,Belgium,2:05.50,"['27.30', '32.21', '36.63', '29.36']",28 Jul 2017
"PAVLOV, Egor",2001,Russia,2:05.56,"['26.25', '31.78', '38.35', '29.18']",17 May 2017
"WELLS, Nathan",1998,Great Britain,2:05.57,[],4 Aug 2017
"LA ROCCO, Antonio",1999,Italy,2:05.58,"['27.50', '33.17', '35.84', '29.07']",3 Jun 2017
"CHIOTIS, Panagiotis",1996,Greece,2:05.59,[],3 Feb 2017
"IZZO, Giovanni",1998,Italy,2:05.60,"['25.78', '32.50', '36.99', '30.33']",5 May 2017
"RAEZ MUNOZ, Alejandro",1999,Spain,2:05.62,"['27.36', '1:38.']",20 Mar 2017
"SHAMI, Alon",1999,Israel,2:05.62,[],5 Aug 2017
"NTANOS, Nikolaos",2000,Greece,2:05.65,[],16 Jul 2017
"TESLENKO, Illya",1995,Ukraine,2:05.67,"['26.56', '32.51', '38.14', '28.46']",16 Apr 2017
"POLLING, Dominic",1997,Great Britain,2:05.68,[],22 Apr 2017
"GORBUNOV, Dimitrij",1991,Russia,2:05.68,"['26.68', '32.06', '35.98', '30.96']",29 Jun 2017
"CASTEJON RAMIREZ, Alex",1998,Spain,2:05.69,"['27.61', '1:38.']",5 Aug 2017
"MARC, Antoine",2000,France,2:05.69,"['27.43', '33.90', '34.87', '29.49']",17 Dec 2017
"TSCHABUSCHNIG, Alexandre",1995,Switzerland,2:05.70,"['26.49', '32.33', '35.99', '30.89']",10 Mar 2017
"PUIG GARRICH, Albert",1994,Spain,2:05.71,"['26.49', '1:39.']",5 Aug 2017
"ZOMBORI, Gabor",2002,Hungary,2:05.75,"['27.35', '30.70', '36.79', '30.91']",22 Jun 2017
"BORGSTROEM, Halvor Arne",1997,Norway,2:05.78,"['27.64', '32.51', '35.60', '30.03']",8 Jul 2017
"KUHN, Wassili",1999,Germany,2:05.81,"['26.22', '33.68', '36.24', '29.67']",1 Jun 2017
"ARMBRUSTER, Luca Nik",2001,Germany,2:05.82,"['26.37', '32.09', '37.64', '29.72']",1 Jun 2017
"RENARD, Geoffrey",1997,France,2:05.83,"['26.82', '31.55', '37.30', '30.16']",28 Jul 2017
"DOMVILLE, Matthew",1997,Great Britain,2:05.84,[],4 Aug 2017
"BROMER, Viktor B.",1993,Denmark,2:05.85,"['26.83', '33.37', '35.92', '29.73']",21 Jan 2017
"LEIDNER, Kenrick",1997,Germany,2:05.87,"['27.06', '32.36', '37.42', '29.03']",1 Jun 2017
"SCOZZOLI, Fabio",1988,Italy,2:05.90,"['26.01', '34.28', '34.75', '30.86']",8 Aug 2017
"GOMEZ DIEZ HECTOR, Daniel",1999,Spain,2:05.91,"['27.39', '1:38.']",5 Aug 2017
"JEAN, Hugo",1997,France,2:05.91,"['27.57', '31.81', '36.70', '29.83']",17 Dec 2017
"PETIT, Ambroise",1995,France,2:05.92,"['26.77', '32.57', '36.97', '29.61']",4 Feb 2017
"ROGIC, Kristofer Marijan",1999,Croatia,2:05.94,"['26.58', '31.89', '38.29', '29.18']",12 Feb 2017
"DZIEDZIC, Dawid",1999,Poland,2:05.95,"['26.79', '32.27', '35.64', '31.25']",20 Jul 2017
"RINDSHOEJ, Frederik",1999,Denmark,2:05.97,"['27.21', '33.78', '35.41', '29.57']",29 Jun 2017
"D'ORIANO, Nicolas",1997,France,2:06.01,"['28.04', '1:37.']",10 Dec 2017
"JELENAK, Pavol",1992,Slovakia,2:06.05,"['26.79', '32.18', '37.41', '29.67']",5 Mar 2017
"CARAZO BARBERO, Alonso",2000,Spain,2:06.05,"['26.92', '1:39.']",5 Aug 2017
"ARROYO GARCIA, Miguel Angel",1999,Spain,2:06.05,"['26.89', '1:39.']",5 Aug 2017
"CHRAPAVY, Filip",1999,Czech Republic,2:06.06,"['27.58', '33.65', '34.81', '30.02']",8 Apr 2017
"KAPOCIUS, Erikas",2000,Lithuania,2:06.09,"['27.71', '32.26', '36.09', '30.03']",22 Apr 2017
"LASSERRE, Kevin",1998,France,2:06.11,"['27.22', '33.25', '35.61', '30.03']",28 Jul 2017
"GREENFIELD, Thomas",1989,Great Britain,2:06.11,[],3 Aug 2017
"MORAWSKI, Krzysztof",1994,Poland,2:06.13,"['26.92', '31.43', '37.41', '30.37']",20 May 2017
"BERTOLDI, Matteo",1997,Italy,2:06.14,"['26.35', '32.86', '36.73', '30.20']",2 Aug 2017
"SOKOLOV, Nikolay",1997,Russia,2:06.17,"['26.99', '31.22', '36.89', '31.07']",11 Apr 2017
"PFYFFER, Luca Tobias",1996,Switzerland,2:06.21,"['26.70', '33.36', '35.04', '31.11']",26 Mar 2017
"TRAP, Alexander",1997,Belgium,2:06.21,"['27.05', '32.51', '37.96', '28.69']",28 Jul 2017
"SANCHEZ, Guillermo",1996,Spain,2:06.22,"['26.87', '32.32', '36.79', '30.24']",10 Apr 2017
"MOUZAS, Hristos",1995,Greece,2:06.22,[],23 Jun 2017
"FEDELI, Nicolo'",1993,Italy,2:06.23,"['27.58', '32.01', '37.22', '29.42']",13 Jul 2017
"PYYKKOENEN, Kalle",1996,Finland,2:06.24,"['27.06', '33.82', '35.23', '30.13']",12 May 2017
"KHODATSKII, Kristian",1999,Russia,2:06.26,"['26.45', '31.11', '38.11', '30.59']",12 Apr 2017
"MILLI, Matteo",1989,Italy,2:06.26,"['27.71', '32.23', '36.74', '29.58']",13 May 2017
"MUNDEN, Craig",1997,Great Britain,2:06.26,"['26.55', '31.17', '39.81', '28.73']",17 Dec 2017
"FRANCISCO, Javier Chacon Mateos",1999,Spain,2:06.27,"['26.97', '32.31', '37.18', '29.81']",10 Apr 2017
"VARJASI, Peter",2000,Germany,2:06.29,"['26.42', '32.41', '36.37', '31.09']",1 Jun 2017
"CASANOVAS SKOUBO, Joan",1997,Spain,2:06.30,"['27.26', '33.09', '37.56', '28.39']",8 Jul 2017
"BETTEN, Jelle",2000,Netherlands,2:06.32,"['27.37', '32.23', '36.93', '29.79']",16 Jun 2017
"IVANOV, Antani A",1999,Bulgaria,2:06.33,"['26.20', '32.17', '39.02', '28.94']",19 Mar 2017
"THOMPSON, Joel",2001,Great Britain,2:06.33,[],29 Jul 2017
"BALLO, Stefano",1993,Italy,2:06.34,"['26.97', '32.74', '37.00', '29.63']",7 Apr 2017
"ROOS de, Jacob",1999,Netherlands,2:06.34,"['27.25', '33.83', '35.27', '29.99']",16 Jun 2017
"HEUNINCK, Maarten",2000,Belgium,2:06.39,"['27.20', '32.85', '36.14', '30.20']",28 Jul 2017
"CAROSSA, Giovanni",1999,Italy,2:06.39,"['26.88', '32.10', '37.76', '29.65']",2 Aug 2017
"HARRISON, Ben",2000,Great Britain,2:06.40,[],29 Jul 2017
"GLADCHENKO, Denis",1998,Russia,2:06.43,"['27.47', '32.66', '36.67', '29.63']",2 Jul 2017
"NDOYE BROUARD, Yohann",2000,France,2:06.44,"['27.10', '32.24', '37.43', '29.67']",26 May 2017
"BALLESTER PUIG, Joan",1995,Spain,2:06.44,"['26.52', '1:39.']",21 Dec 2017
"RAMOS, Bruno Miguel",1997,Portugal,2:06.45,"['26.86', '32.18', '39.21', '28.20']",23 Jul 2017
"CUBILLAS GIL, Izan",2000,Spain,2:06.46,"['27.87', '1:38.']",5 Aug 2017
"BIKEEV, Timur",1999,Russia,2:06.47,"['26.88', '33.24', '36.67', '29.68']",21 Apr 2017
"TOMAC, Mewen",2001,France,2:06.49,"['27.15', '31.55', '38.01', '29.78']",17 Dec 2017
"NABARRO, Brandon",1997,Great Britain,2:06.50,[],22 Apr 2017
"BOBAR, Aleksa",1999,Serbia,2:06.50,"['26.88', '32.45', '38.02', '29.15']",17 Jun 2017
"MARIC, Ognjen",2000,Croatia,2:06.50,"['27.32', '31.11', '39.24', '28.83']",29 Jul 2017
"MYRZIN, Sergey",1996,Russia,2:06.54,"['26.31', '32.86', '37.11', '30.26']",11 Apr 2017
"GROENHART, Jari",2000,Netherlands,2:06.55,"['27.86', '32.34', '37.34', '29.01']",16 Jun 2017
"XELLA, Alessandro",1999,Italy,2:06.55,"['26.99', '32.13', '36.71', '30.72']",2 Aug 2017
"HULME, Joseph",1997,Great Britain,2:06.58,[],22 Apr 2017
"SANTOS, Pedro Andre",1994,Portugal,2:06.62,"['26.77', '33.60', '35.95', '30.30']",1 Apr 2017
"BATTALIER, Samuel",2000,France,2:06.63,"['27.73', '31.88', '36.97', '30.05']",24 Mar 2017
"CHRISTIAN, Daniel",1998,Denmark,2:06.63,"['27.43', '32.95', '36.51', '29.74']",8 Jul 2017
"RAPTIS, Paris",2000,Greece,2:06.64,[],13 May 2017
"FORSTENHAEUSLER, Maximilian",1997,Germany,2:06.64,"['26.70', '32.08', '38.43', '29.43']",16 Jun 2017
"MONAKHOV, Evgenii",2001,Russia,2:06.66,"['27.18', '32.58', '37.02', '29.88']",17 May 2017
"POLIAKOV, Dmitrii",1999,Russia,2:06.67,"['26.64', '32.73', '37.17', '30.13']",21 Apr 2017
"BRITTON, John",1995,Great Britain,2:06.69,"['27.04', '33.10', '35.66', '30.89']",17 Dec 2017
"NUNEZ ALVAREZ, Antonio",1995,Spain,2:06.70,"['27.44', '1:39.']",5 Aug 2017
"PERON, Francesco",1996,Italy,2:06.72,"['27.13', '33.73', '36.77', '29.09']",25 Feb 2017
"SANTI, Mattia",1997,Italy,2:06.73,"['26.85', '33.08', '36.44', '30.36']",2 Aug 2017
"VAN WYNSBERGHE, Francois",1995,France,2:06.77,"['27.20', '33.57', '35.63', '30.37']",26 May 2017
"FERRARO, Christian",1997,Italy,2:06.77,"['26.52', '33.96', '36.88', '29.41']",2 Aug 2017
"FONTABELLA CASTELLANOS, Hector",1998,Spain,2:06.79,"['27.89', '31.08', '38.15', '29.67']",10 Apr 2017
"BOBROVS, Daniils",1997,Latvia,2:06.79,"['27.34', '35.10', '33.86', '30.49']",28 May 2017
"DEMIR, Demirkan",2001,Turkey,2:06.79,"['27.64', '33.10', '35.55', '30.50']",17 Nov 2017
"VENTRONE, Stefano",1991,Italy,2:06.81,"['27.83', '31.91', '37.66', '29.41']",9 Jul 2017
"NICOLAS MATTA, Javier",2000,Spain,2:06.83,"['26.84', '1:39.']",5 Aug 2017
"CHAIKOU, Pavel",1996,Belarus,2:06.85,"['26.86', '32.21', '37.56', '30.22']",28 May 2017
"MARSAU, Matthias",1997,France,2:06.90,"['1:01.', '1:05.']",30 Dec 2017
"SERES, Edwin",1995,Hungary,2:06.91,"['26.74', '32.53', '1:07.']",20 Apr 2017
"BOULIER, Romain",1998,France,2:06.91,"['26.64', '33.83', '36.92', '29.52']",26 May 2017
"ZELLMANN, Poul",1995,Germany,2:06.93,"['59.31', '1:07.']",29 Apr 2017
"SILVA, Jorge Jesus",2000,Portugal,2:06.93,"['28.10', '32.87', '35.75', '30.21']",27 May 2017
"DOROGOV, Mykyta",1999,Ukraine,2:06.96,"['26.75', '33.67', '36.83', '29.71']",16 Apr 2017
"BUKOVICS, Milan",2001,Hungary,2:06.97,"['27.26', '32.67', '37.70', '29.34']",15 Dec 2017
"LAEUFFER, Jacques",1997,Switzerland,2:06.99,"['27.24', '32.80', '35.13', '31.82']",26 Mar 2017
"PAPADOPOULOS, Hristos",1997,Greece,2:07.00,[],27 May 2017
"BANYAK, Karoly",1999,Hungary,2:07.00,"['27.19', '33.02', '37.66', '29.13']",15 Dec 2017
"KARPENKO, Oleksandr",1995,Ukraine,2:07.01,"['25.62', '35.87', '34.33', '31.19']",16 Apr 2017
"COHEN GROUMI, Gal",2002,Israel,2:07.02,[],5 Aug 2017
"KABANOV, Artemiy",1996,Russia,2:07.05,"['27.20', '32.68', '37.18', '29.99']",11 Apr 2017
"KOTTERINK, Ensger",1994,Netherlands,2:07.06,"['27.04', '30.94', '37.78', '31.30']",9 Apr 2017
"MATTENET, Emilien",2000,France,2:07.07,"['27.83', '32.53', '36.74', '29.97']",26 May 2017
"BROCK, Marc",2000,Germany,2:07.10,"['26.82', '31.45', '38.52', '30.31']",1 Jun 2017
"DE TULLIO, Marco",2000,Italy,2:07.10,"['27.48', '31.79', '38.09', '29.74']",3 Jun 2017
"CAPURSO, Nicolo'",1992,Italy,2:07.13,"['27.87', '33.31', '35.99', '29.96']",25 Jun 2017
"BERGMAN, Fabian",1994,Sweden,2:07.14,"['27.16', '31.87', '37.55', '30.56']",4 Jul 2017
"COAN, Giovanni",1996,Italy,2:07.14,"['59.96', '1:07.']",21 Jul 2017
"TULLBERG, Sebastian",2000,Denmark,2:07.15,"['26.70', '33.28', '37.96', '29.21']",2 Apr 2017
"LECHOWICZ, Filip",1997,Poland,2:07.16,"['27.22', '33.54', '36.68', '29.72']",20 May 2017
"GOODBURN, Archie",2001,Great Britain,2:07.16,"['27.17', '33.21', '37.19', '29.59']",26 Jul 2017
"TAVOLETTA, Raffaele",1996,Italy,2:07.20,"['26.46', '32.83', '37.97', '29.94']",4 Feb 2017
"DAL, Thomas",1997,Belgium,2:07.20,"['27.67', '33.98', '35.16', '30.39']",13 May 2017
"RUOHONIEMI, Miikka",1993,Finland,2:07.21,"['26.78', '34.77', '35.92', '29.74']",10 Jun 2017
"SPANU, Matteo",1999,Italy,2:07.21,"['27.10', '32.13', '38.13', '29.85']",23 Dec 2017
"CASTELLO, Andrea",1998,Italy,2:07.22,"['1:02.', '1:04.']",21 Jul 2017
"PEZZOTTA, Riccardo",1994,Italy,2:07.23,"['27.58', '32.85', '37.21', '29.59']",12 Feb 2017
"BRUN, Christophe",1998,France,2:07.23,"['27.07', '31.94', '38.10', '30.12']",28 Jul 2017
"HALLER, Julian",1998,Germany,2:07.25,"['26.80', '32.73', '38.15', '29.57']",1 Jun 2017
"PILEK, Adam",1998,Slovakia,2:07.27,"['27.15', '32.47', '38.31', '29.34']",17 Jun 2017
"ZBUTOWICZ, Karol",1998,Poland,2:07.28,"['27.77', '32.68', '36.86', '29.97']",8 Apr 2017
"GEZMIS, Ergecan",1998,Turkey,2:07.29,"['28.77', '32.42', '37.35', '28.75']",18 Mar 2017
"MARTIN, Daniel Cristian",2000,Romania,2:07.30,"['26.71', '31.45', '40.26', '28.88']",6 May 2017
"SMAL', Anton",1997,Ukraine,2:07.34,"['27.54', '33.21', '36.53', '30.06']",16 Apr 2017
"CHERNIH, David",1997,Israel,2:07.36,[],19 Apr 2017
"WINIATOWSKI, Patryk",1999,Poland,2:07.36,"['26.58', '32.86', '37.53', '30.39']",20 May 2017
Anonymous Athlete,1999,Israel,2:07.37,[],19 Apr 2017
"CARVALHO, Jose Paula",1998,Portugal,2:07.38,"['27.60', '33.87', '36.46', '29.45']",1 Apr 2017
"MILIUS, Eimantas",1996,Lithuania,2:07.38,"['27.79', '32.64', '36.79', '30.16']",28 May 2017
"GROPPER, Guy",1998,Israel,2:07.39,[],5 Aug 2017
"SCHLATTER, Timothy",1998,Switzerland,2:07.40,"['25.94', '31.21', '38.84', '31.41']",26 Mar 2017
"ANDERSSON, Anton",1993,Sweden,2:07.40,"['27.11', '32.42', '37.48', '30.39']",4 Jul 2017
"NUSSBAUMER, Felix",1999,Austria,2:07.42,"['27.12', '34.75', '37.00', '28.55']",16 Jul 2017
"CHORNYY, Yegor",1997,Ukraine,2:07.44,"['27.06', '32.96', '37.18', '30.24']",16 Apr 2017
"LITWA, Krzysztof",1996,Poland,2:07.44,"['26.87', '33.24', '37.17', '30.16']",20 May 2017
"ELLEGAARD, Arthur Dalen",2001,Denmark,2:07.45,"['27.25', '33.16', '37.60', '29.44']",2 Apr 2017
"RIST JENSEN, Ole Marius",2001,Norway,2:07.46,"['27.96', '33.73', '35.58', '30.19']",26 Jul 2017
"KOZHENKOV, Roman",1998,Russia,2:07.48,"['26.18', '33.07', '37.45', '30.78']",2 Jul 2017
"DE LA HERA, Javier",1996,Spain,2:07.48,"['26.75', '1:40.']",5 Aug 2017
"GERBER, Yaron",1998,Great Britain,2:07.50,[],4 Aug 2017
"CHRISTIANSEN, Henrik",1996,Norway,2:07.51,"['28.21', '33.43', '37.24', '28.63']",9 Jun 2017
"HUTCHISON, Charlie",2002,Great Britain,2:07.52,[],22 Apr 2017
"LIESS, Thomas",1995,Switzerland,2:07.53,"['27.05', '32.75', '38.73', '29.00']",6 May 2017
"HEIN, Silver",1997,Estonia,2:07.53,"['27.93', '33.47', '35.36', '30.77']",18 Jun 2017
"O'HALLERON, Joel",1996,Great Britain,2:07.53,[],4 Aug 2017
"MEGLI, Filippo",1997,Italy,2:07.54,"['26.82', '33.01', '37.78', '29.93']",1 May 2017
"ELMGREEN, Andreas Kaas",1999,Denmark,2:07.55,"['27.65', '32.71', '37.16', '30.03']",28 May 2017
"SELEDTSEV, Kyrylo",1999,Ukraine,2:07.56,"['27.56', '33.35', '36.96', '29.69']",16 Apr 2017
"HIMER, Krisztofer",2000,Hungary,2:07.58,"['26.54', '31.97', '1:09.']",20 Apr 2017
"MIRESSI, Alessandro",1998,Italy,2:07.58,"['25.87', '32.57', '40.62', '28.52']",18 Jun 2017
"NAMIR, Daniel",1997,Israel,2:07.58,[],5 Aug 2017
"SORIC, Lovre",1995,Croatia,2:07.58,"['26.94', '32.52', '36.70', '31.42']",6 Aug 2017
"DE GOLS, Senne",1998,Belgium,2:07.60,"['27.33', '32.75', '36.86', '30.66']",26 Feb 2017
"CARINI, Giacomo",1997,Italy,2:07.63,"['26.70', '32.53', '38.43', '29.97']",4 Mar 2017
"BERECZ, Balazs",2000,Hungary,2:07.64,"['27.61', '33.43', '1:06.']",27 May 2017
"GENKIANIDIS, Panagiotis-Orfeas",2000,Greece,2:07.64,[],23 Jun 2017
"BOURSAC CERVERA, Thomas",1999,France,2:07.65,"['28.47', '34.08', '35.14', '29.96']",13 May 2017
"MITYUKOV, Roman",2000,Switzerland,2:07.66,"['25.67', '32.16', '39.56', '30.27']",21 Jul 2017
"FRASER, Lewis",2000,Great Britain,2:07.66,[],19 Nov 2017
"PENEDES FRADERA, Marti",1996,Spain,2:07.69,"['27.16', '1:40.']",5 May 2017
"KING, Rubens",1997,Great Britain,2:07.71,[],19 Feb 2017
"ZAYTSEV, Danil",2002,Russia,2:07.71,"['27.67', '32.97', '36.61', '30.46']",7 May 2017
"BURBAN, Corentin",1998,France,2:07.71,"['26.63', '32.21', '38.52', '30.35']",28 Jul 2017
"FILADELLI, Andrea",2001,Italy,2:07.71,"['27.72', '33.07', '37.40', '29.52']",7 Aug 2017
"GALON, Michal",1995,Poland,2:07.72,"['26.52', '32.44', '37.13', '31.63']",20 May 2017
"FRANK, Simon",1990,Sweden,2:07.73,"['26.90', '32.11', '37.12', '31.60']",4 Jul 2017
"POLIDORI, Damiano",1999,Italy,2:07.74,"['27.98', '33.24', '36.42', '30.10']",21 Jul 2017
"CASASREALES, Tom",2001,France,2:07.74,"['27.79', '33.47', '36.23', '30.25']",22 Jul 2017
"GOODMAN, Jakob",2000,Great Britain,2:07.78,[],8 Apr 2017
"PLATAUX, Robin",1997,France,2:07.80,"['27.63', '33.15', '37.18', '29.84']",28 Jul 2017
"MAJCHRZAK, Kacper",1992,Poland,2:07.81,"['26.93', '35.36', '37.86', '27.66']",11 Feb 2017
"WIESNER, Andreas",1994,Germany,2:07.81,"['27.24', '30.90', '39.33', '30.34']",28 May 2017
"ESPERNBERGER, Paul",1999,Austria,2:07.82,"['27.70', '32.77', '38.29', '29.06']",23 Apr 2017
"COMA PLANELLA, Roger",2000,Spain,2:07.86,"['27.61', '1:40.']",21 Dec 2017
"ROBINS, Luke",1999,Great Britain,2:07.87,[],22 Apr 2017
"ANDERSEN, Magnus",1995,Denmark,2:07.87,"['26.54', '32.60', '37.94', '30.79']",8 Jul 2017
"ZHILIN, Dmitry",1990,Russia,2:07.88,"['27.59', '32.51', '37.55', '30.23']",11 Apr 2017
"SARPE, Pietro Paolo",2000,Italy,2:07.88,"['58.67', '1:09.']",27 May 2017
"GUTIERREZ, Juan Francisco Segura",1994,Spain,2:07.89,"['26.51', '1:41.']",5 May 2017
"HANSON, Robin",2001,Sweden,2:07.90,"['26.28', '32.23', '39.45', '29.94']",26 Jul 2017
"STIRK, Myles",2000,Great Britain,2:07.91,"['27.05', '32.10', '38.48', '30.28']",17 Dec 2017
"TRETT OLIVER, Tony-Joe",1999,Great Britain,2:07.94,[],29 Jul 2017
"GUNNING, Michael",1994,Great Britain,2:07.95,[],11 Feb 2017
"ROUAULT, Pierre",1995,France,2:07.95,"['27.21', '32.80', '38.15', '29.79']",24 Mar 2017
"SCHMIDT, Danny",2001,Germany,2:07.98,"['27.11', '34.05', '37.88', '28.94']",1 Jun 2017
"ZATSEPIN, Stanislav",1994,Russia,2:07.98,"['27.87', '33.34', '36.27', '30.50']",2 Jul 2017
"SEIDEL, Maxwell Enrico",2001,Switzerland,2:07.98,"['27.47', '32.83', '36.64', '31.04']",21 Jul 2017
"PONE, Emils",1997,Latvia,2:07.99,"['27.99', '32.28', '37.50', '30.22']",28 May 2017
"SMAL, Anton",1997,Ukraine,2:08.03,"['27.59', '33.01', '37.44', '29.99']",28 Jan 2017
"CORBEAU, Caspar",2001,Netherlands,2:08.03,"['27.98', '33.39', '36.90', '29.76']",16 Jun 2017
"POTHAIN, Jordan",1994,France,2:08.04,"['26.42', '33.01', '39.66', '28.95']",11 Feb 2017
"TANDA, Alessandro",1997,Italy,2:08.05,"['27.18', '31.90', '38.05', '30.92']",7 Apr 2017
"NIKOLOV, Svetlozar",2000,Bulgaria,2:08.05,"['27.29', '32.40', '37.51', '30.85']",29 Jun 2017
"ROBERTO, Nicola",1999,Italy,2:08.06,"['1:02.', '1:05.']",6 May 2017
"ERICSSON, Oskar",1997,Sweden,2:08.08,"['27.52', '32.94', '38.12', '29.50']",4 Jul 2017
"SUBBOTIN, Egor",1997,Russia,2:08.08,"['27.82', '33.47', '36.94', '29.85']",2 Jul 2017
"GREVEN, Lucas",1995,Netherlands,2:08.10,"['27.68', '33.87', '36.16', '30.39']",5 Mar 2017
"GOLUBEV, Ivan",1999,Russia,2:08.10,"['26.83', '34.26', '37.86', '29.15']",21 Apr 2017
"STAUDINGER, Manuel",1999,Austria,2:08.11,[],26 Mar 2017
"CLAMPETT, Freddy",1998,Great Britain,2:08.11,[],29 Jul 2017
"PATELLI, Alessandro",1998,Italy,2:08.12,"['26.92', '33.15', '38.11', '29.94']",2 Aug 2017
"EREMENKO, Victor",1999,Russia,2:08.15,"['27.53', '32.65', '37.94', '30.03']",2 Jul 2017
